name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name.1,team_id,team_name,event,team_h,team_a
Arsenal,64,116,3.5,2348,3,2,10,2.7,1.21,Arsenal,1,Arsenal,34,1,7
Arsenal,64,116,3.5,2348,3,2,10,2.7,1.21,Arsenal,1,Arsenal,35,1,3
Arsenal,64,116,3.5,2348,3,2,10,2.7,1.21,Arsenal,1,Arsenal,37,1,15
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,1,1,20
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,3,1,5
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,6,1,11
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,7,1,17
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,9,1,12
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,12,1,16
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,14,1,14
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,16,1,8
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,18,1,10
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,21,1,18
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,22,1,2
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,24,1,13
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,26,1,19
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,29,1,6
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,30,1,9
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,32,1,4
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,34,1,7
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,35,1,3
Arsenal,77,96,0.0,1839,9,3,7,9.39,1.63,Arsenal,1,Arsenal,37,1,15
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,1,1,20
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,3,1,5
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,6,1,11
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,7,1,17
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,9,1,12
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,12,1,16
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,14,1,14
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,16,1,8
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,18,1,10
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,21,1,18
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,22,1,2
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,24,1,13
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,26,1,19
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,29,1,6
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,30,1,9
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,32,1,4
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,34,1,7
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,35,1,3
Arsenal,40,0,0.0,0,0,0,0,0.0,0.0,Arsenal,1,Arsenal,37,1,15
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,1,1,20
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,3,1,5
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,6,1,11
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,7,1,17
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,9,1,12
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,12,1,16
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,14,1,14
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,16,1,8
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,18,1,10
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,21,1,18
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,22,1,2
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,24,1,13
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,26,1,19
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,29,1,6
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,30,1,9
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,32,1,4
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,34,1,7
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,35,1,3
Arsenal,56,101,7.0,2199,1,2,10,0.75,1.19,Arsenal,1,Arsenal,37,1,15
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,1,1,20
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,3,1,5
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,6,1,11
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,7,1,17
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,9,1,12
Arsenal,47,16,0.0,540,0,0,2,0.04,0.51,Arsenal,1,Arsenal,12,1,16
