name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,predicted_points,team_a
cook,5.0,68,2.0,2391,1,3,4,0.62,3.16,71.0,
enes ünal,5.4,32,0.0,330,2,1,2,2.73,0.26,46.18,
faivre,5.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
h.traorè,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
hill,3.9,16,0.5,420,0,1,1,0.29,0.24,16.34,
jebbison,4.5,8,0.5,61,0,0,0,0.21,0.12,10.74,
kerkez,5.2,105,4.0,2537,2,6,6,0.5,1.96,94.3,
kluivert,6.3,147,3.5,1934,12,6,10,9.58,3.13,136.64,
mepham,4.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
o.dango,5.1,99,1.0,1510,7,4,5,7.17,2.63,100.51,
paulsen,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
philip,4.8,10,0.0,176,0,0,0,0.55,0.97,19.433333333333334,
scott,4.7,15,0.5,371,0,0,1,0.24,0.43,18.526666666666667,
semenyo,5.7,111,1.0,2465,7,5,7,8.06,3.91,111.58,
senesi,4.6,21,0.0,917,0,0,1,0.81,0.44,48.13,
sinisterra,4.8,23,1.0,229,1,1,0,1.18,1.29,38.32,
smith,4.4,34,0.0,1032,0,0,3,0.6,0.1,27.3,
tavernier,5.4,72,4.0,1500,3,6,3,5.17,2.48,79.9,
travers,4.4,19,0.0,450,0,0,1,0.0,0.01,44.8585142912643,
zabarnyi,4.4,65,0.5,2364,0,0,6,0.81,0.42,57.22,
arrizabalaga,4.6,72,1.0,1980,0,0,5,0.06,0.01,42.955,
huijsen,4.5,71,0.5,1690,2,0,5,1.6,1.18,67.18,
j.araujo,4.3,8,0.0,352,0,0,0,0.0,0.04,10.62304761904762,
dennis,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
evanilson,5.7,89,5.0,1541,6,4,8,7.77,1.42,91.03,
kinsey,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
winterburn,4.5,2,0.0,9,0,0,0,0.0,0.0,3.9237786938038095,
harris,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
rees-dottin,4.5,1,0.0,1,0,0,0,0.0,0.0,3.9237786938038095,
akinmboni,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
soler,3.9,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
adu-adjei,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
sadi,4.5,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
mckenna,4.0,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
silcott-duberry,4.5,1,0.0,1,0,0,0,0.0,0.0,3.9237786938038095,
iraola,1.1,29,3.0,0,0,0,0,0.0,0.0,3.9237786938038095,
ajer,4.4,28,1.5,1206,0,0,2,0.72,0.44,32.98,
brierley,4.4,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
collins,4.5,90,1.5,2610,2,5,5,2.28,1.21,84.32,
damsgaard,5.1,108,2.0,2217,2,9,8,2.42,5.36,99.8,
dasilva,4.8,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
flekken,4.4,96,3.0,2465,0,1,4,0.0,0.09,72.8,
henry,4.3,1,0.0,3,0,0,0,0.0,0.0,3.9237786938038095,
hickey,4.3,0,0.0,0,0,0,0,0.0,0.0,3.9237786938038095,
janelt,4.9,68,1.0,2098,1,3,6,0.83,2.3,68.82,
jensen,5.3,28,0.5,728,0,1,2,0.23,1.17,29.26,
ji-soo,3.9,3,0.5,28,0,0,0,0.0,0.0,3.9237786938038095,
