id,first_name,second_name,team,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,selected_by_percent
730,Romain,Esse,7,4.7,9,1.0,8,1,0,0,0.1
333,Jarell,Quansah,12,3.9,9,1.0,286,0,0,0,1.2
277,Massimo,Luongo,10,4.4,9,0.0,179,0,0,0,0.2
142,Jason,Steele,5,4.1,9,0.0,180,0,0,1,0.7
592,Julián,Araujo Zúñiga,3,4.3,8,0.0,352,0,0,0,0.1
260,Ali,Al-Hamadi,10,4.7,8,0.0,125,0,0,0,0.2
421,Callum,Wilson,15,6.9,8,1.0,156,0,0,0,0.1
254,Harrison,Reed,9,4.7,8,0.5,71,0,0,0,0.0
754,Ruud,van Nistelrooij,11,0.5,8,0.0,0,0,0,0,0.2
655,Carlos Roberto,Forbs Borges,20,5.4,8,0.0,235,0,0,0,0.0
429,Danilo,dos Santos de Oliveira,16,4.7,8,0.5,168,0,0,1,0.0
51,Robin,Olsen,2,4.5,8,7.0,180,0,0,1,0.1
59,Max,Aarons,3,4.3,8,0.0,84,0,0,1,0.1
69,Daniel,Jebbison,3,4.5,8,0.5,61,0,0,0,1.1
382,Mason,Mount,14,6.3,8,0.0,243,0,0,1,0.1
466,Joe,Lumley,17,4.0,8,0.0,270,0,0,0,0.5
365,Antony Matheus,dos Santos,14,5.7,8,0.0,135,0,0,0,0.2
674,Paris,Maghoma,4,4.5,7,0.0,105,0,0,0,0.0
696,Tyrique,George,6,4.5,7,1.0,84,0,1,0,0.0
184,Renato,Palma Veiga,6,4.4,7,0.0,176,0,0,1,0.1
73,Norberto,Murara Neto,1,4.1,7,0.0,180,0,0,0,0.7
393,Sven,Botman,15,4.4,7,0.0,225,0,0,1,0.0
179,Mykhailo,Mudryk,6,6.1,7,0.0,145,0,0,0,0.2
153,Benoît,Badiashile,6,4.2,7,1.0,332,0,0,0,0.1
526,Luis Guilherme,Lira dos Santos,19,4.6,7,0.0,50,0,0,0,0.0
234,Nathan,Patterson,8,4.4,7,0.0,124,0,0,0,0.0
397,Ryan,Fraser,17,4.8,7,0.0,303,0,0,0,0.0
632,Chiedozie,Ogbene,10,4.8,7,0.0,237,0,0,0,0.0
97,Yunus Emre,Konak,4,4.4,7,0.5,27,0,0,0,0.1
198,Odsonne,Edouard,11,5.1,7,0.0,141,0,0,0,0.2
725,Donyell,Malen,2,5.4,7,1.0,168,0,0,0,0.1
772,Willian,Borges da Silva,9,5.0,7,2.0,128,0,0,1,0.0
