name,now_cost,total_points,form,minutes,goals_scored,assists,clean_sheets,xG,xA,name
Bournemouth,54,32,0.0,330,2,1,2,2.73,0.26,Bournemouth
Bournemouth,50,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,45,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,39,16,0.5,420,0,1,1,0.29,0.24,Bournemouth
Bournemouth,45,8,0.5,61,0,0,0,0.21,0.12,Bournemouth
Bournemouth,52,105,4.0,2537,2,6,6,0.50,1.96,Bournemouth
Bournemouth,63,147,3.5,1934,12,6,10,9.58,3.13,Bournemouth
Bournemouth,44,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,51,99,1.0,1510,7,4,5,7.17,2.63,Bournemouth
Bournemouth,40,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,48,10,0.0,176,0,0,0,0.55,0.97,Bournemouth
Bournemouth,47,15,0.5,371,0,0,1,0.24,0.43,Bournemouth
Bournemouth,57,111,1.0,2465,7,5,7,8.06,3.91,Bournemouth
Bournemouth,46,21,0.0,917,0,0,1,0.81,0.44,Bournemouth
Bournemouth,48,23,1.0,229,1,1,0,1.18,1.29,Bournemouth
Bournemouth,44,34,0.0,1032,0,0,3,0.60,0.10,Bournemouth
Bournemouth,54,72,4.0,1500,3,6,3,5.17,2.48,Bournemouth
Bournemouth,44,19,0.0,450,0,0,1,0.00,0.01,Bournemouth
Bournemouth,44,65,0.5,2364,0,0,6,0.81,0.42,Bournemouth
Bournemouth,46,72,1.0,1980,0,0,5,0.06,0.01,Bournemouth
Bournemouth,45,71,0.5,1690,2,0,5,1.60,1.18,Bournemouth
Bournemouth,43,8,0.0,352,0,0,0,0.00,0.04,Bournemouth
Bournemouth,39,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,57,89,5.0,1541,6,4,8,7.77,1.42,Bournemouth
Bournemouth,40,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
Bournemouth,45,2,0.0,9,0,0,0,0.00,0.00,Bournemouth
Bournemouth,40,0,0.0,0,0,0,0,0.00,0.00,Bournemouth
